t,event,task,x,y,scheduled_start,actual_start,schedule_deviation,note,phi1_bool,phi1_rob,phi2_bool,phi2_rob,phi3_bool,phi3_rob,phi_all_bool,phi_all_rob,speed,vmax
51.368,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 7.43s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
52.399,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 8.46s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
53.427,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 9.49s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
54.464,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 10.53s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
55.495,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 11.56s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
56.525,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 12.59s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
57.553,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 13.62s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
58.569,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 14.63s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
59.605,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 15.67s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
60.638,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 16.70s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
61.674,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 17.74s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
62.702,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 18.77s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
63.735,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 19.80s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
64.754,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 20.82s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
65.783,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 21.85s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
66.800,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 22.86s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
67.828,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 23.89s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
68.863,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 24.93s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
69.898,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 25.96s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
70.927,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 26.99s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
71.946,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 28.01s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
72.956,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 29.02s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
73.992,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 30.05s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
